assembly_id	File_prefix	biosample	Species	source	host	host_simple	isolation_year	region	Collection	mos_aic_source_specific	mos_aic_source_lab	location	mos_aic_lab_field	mosquito_spp
SKLX030086	GCA_025196945.1	SAMN15461105	Elizabethkingia anophelis	Bile	Homo sapiens	Homo sapiens	2015	Asia	Hu	NA	NA	NA	NA	NA
SKLX030402	GCA_025196805.1	SAMN15461106	Elizabethkingia anophelis	Sputum	Homo sapiens	Homo sapiens	2015	Asia	Hu	NA	NA	NA	NA	NA
SKLX030436	GCA_025196845.1	SAMN15461107	Elizabethkingia anophelis	Sputum	Homo sapiens	Homo sapiens	2015	Asia	Hu	NA	NA	NA	NA	NA
SKLX030456	GCA_025196785.1	SAMN15461108	Elizabethkingia anophelis	Blood	Homo sapiens	Homo sapiens	2015	Asia	Hu	NA	NA	NA	NA	NA
SKLX031550	GCA_025196745.1	SAMN15461109	Elizabethkingia anophelis	Sputum	Homo sapiens	Homo sapiens	2015	Asia	Hu	NA	NA	NA	NA	NA
SKLX031666	GCA_025196725.1	SAMN15461110	Elizabethkingia anophelis	Sputum	Homo sapiens	Homo sapiens	2015	Asia	Hu	NA	NA	NA	NA	NA
SKLX031969	GCA_025196755.1	SAMN15461111	Elizabethkingia anophelis	Sputum	Homo sapiens	Homo sapiens	2015	Asia	Hu	NA	NA	NA	NA	NA
SKLX032131	GCA_025196695.1	SAMN15461112	Elizabethkingia anophelis	Sputum	Homo sapiens	Homo sapiens	2015	Asia	Hu	NA	NA	NA	NA	NA
SKLX033031	GCA_025196685.1	SAMN15461113	Elizabethkingia anophelis	Sputum	Homo sapiens	Homo sapiens	2015	Asia	Hu	NA	NA	NA	NA	NA
SKLX033378	GCA_025196625.1	SAMN15461114	Elizabethkingia anophelis	Sputum	Homo sapiens	Homo sapiens	2015	Asia	Hu	NA	NA	NA	NA	NA
SKLX033437	GCA_025196645.1	SAMN15461115	Elizabethkingia anophelis	Sputum	Homo sapiens	Homo sapiens	2015	Asia	Hu	NA	NA	NA	NA	NA
SKLX033658	GCA_025196655.1	SAMN15461116	Elizabethkingia anophelis	Sputum	Homo sapiens	Homo sapiens	2015	Asia	Hu	NA	NA	NA	NA	NA
SKLX033668	GCA_025196585.1	SAMN15461117	Elizabethkingia anophelis	Sputum	Homo sapiens	Homo sapiens	2015	Asia	Hu	NA	NA	NA	NA	NA
